Gmt time,Open,High,Low,Close,Volume
03.04.2018 12:30:00.000,106.254,106.283,106.209,106.243,2077.61
03.04.2018 12:45:00.000,106.245,106.302,106.225,106.293,2176.6
03.04.2018 13:00:00.000,106.296,106.405,106.270,106.388,2489.8
03.04.2018 13:15:00.000,106.389,106.539,106.362,106.527,3345.52
03.04.2018 13:30:00.000,106.525,106.575,106.510,106.531,3991.0699999999997
03.04.2018 13:45:00.000,106.530,106.558,106.423,106.465,3605.4800000000005
03.04.2018 14:00:00.000,106.464,106.484,106.380,106.405,4236.46
03.04.2018 14:15:00.000,106.407,106.471,106.388,106.471,3421.92
03.04.2018 14:30:00.000,106.471,106.551,106.463,106.534,4066.2300000000005
03.04.2018 14:45:00.000,106.536,106.593,106.525,106.556,4161.21
03.04.2018 15:00:00.000,106.556,106.578,106.505,106.523,3286.0300000000007
03.04.2018 15:15:00.000,106.523,106.546,106.495,106.528,2740.91
03.04.2018 15:30:00.000,106.524,106.540,106.458,106.517,2763.5000000000005
03.04.2018 15:45:00.000,106.518,106.532,106.438,106.439,2734.6899999999996
03.04.2018 16:00:00.000,106.441,106.498,106.441,106.455,2262.0099999999998
03.04.2018 16:15:00.000,106.455,106.476,106.391,106.406,2289.38
03.04.2018 16:30:00.000,106.404,106.479,106.397,106.463,2144.54
03.04.2018 16:45:00.000,106.463,106.469,106.418,106.441,1768.38
03.04.2018 17:00:00.000,106.441,106.456,106.407,106.425,2343.3999999999996
03.04.2018 17:15:00.000,106.425,106.532,106.424,106.504,2442.53
03.04.2018 17:30:00.000,106.504,106.544,106.480,106.544,2151.03
03.04.2018 17:45:00.000,106.544,106.578,106.518,106.561,2031.06
03.04.2018 18:00:00.000,106.561,106.572,106.498,106.501,2412.65
03.04.2018 18:15:00.000,106.500,106.519,106.473,106.499,2052
03.04.2018 18:30:00.000,106.497,106.497,106.421,106.421,2024.41
03.04.2018 18:45:00.000,106.421,106.578,106.421,106.573,3198.7
03.04.2018 19:00:00.000,106.571,106.654,106.535,106.565,3851.4200000000005
03.04.2018 19:15:00.000,106.562,106.651,106.554,106.639,3467.56
03.04.2018 19:30:00.000,106.639,106.641,106.564,106.598,2566.86
03.04.2018 19:45:00.000,106.597,106.655,106.596,106.647,2270.4900000000002
03.04.2018 20:00:00.000,106.650,106.650,106.591,106.614,721.39
03.04.2018 20:15:00.000,106.614,106.631,106.594,106.630,568.7699999999999
03.04.2018 20:30:00.000,106.630,106.653,106.626,106.632,411.08
03.04.2018 20:45:00.000,106.632,106.632,106.595,106.607,544.13
03.04.2018 21:00:00.000,106.606,106.654,106.598,106.649,1215.67
03.04.2018 21:15:00.000,106.649,106.651,106.629,106.641,982.3900000000001
03.04.2018 21:30:00.000,106.641,106.653,106.637,106.642,767.19
03.04.2018 21:45:00.000,106.642,106.643,106.591,106.594,1128.38
03.04.2018 22:00:00.000,106.593,106.618,106.561,106.563,1220.87
03.04.2018 22:15:00.000,106.563,106.570,106.518,106.540,868.19
03.04.2018 22:30:00.000,106.538,106.558,106.504,106.520,329.41999999999996
03.04.2018 22:45:00.000,106.520,106.524,106.494,106.503,398.2099999999999
03.04.2018 23:00:00.000,106.505,106.541,106.505,106.538,566.17
03.04.2018 23:15:00.000,106.538,106.540,106.521,106.536,411.44000000000005
03.04.2018 23:30:00.000,106.535,106.545,106.491,106.498,894.22
03.04.2018 23:45:00.000,106.499,106.507,106.425,106.441,1352.7399999999998
04.04.2018 00:00:00.000,106.445,106.461,106.409,106.452,1947.3900000000003
04.04.2018 00:15:00.000,106.451,106.481,106.431,106.464,1552.96
04.04.2018 00:30:00.000,106.464,106.567,106.464,106.544,2622.0100000000007
04.04.2018 00:45:00.000,106.543,106.590,106.494,106.523,2833.7399999999993
04.04.2018 01:00:00.000,106.525,106.552,106.431,106.475,2886.01
04.04.2018 01:15:00.000,106.475,106.542,106.475,106.531,1749.7600000000004
04.04.2018 01:30:00.000,106.532,106.584,106.481,106.488,2323.3200000000006
04.04.2018 01:45:00.000,106.489,106.528,106.471,106.514,1907.53
04.04.2018 02:00:00.000,106.514,106.546,106.476,106.483,1895.0700000000002
04.04.2018 02:15:00.000,106.483,106.514,106.465,106.499,1230.04
04.04.2018 02:30:00.000,106.499,106.515,106.474,106.487,1659.2400000000002
04.04.2018 02:45:00.000,106.487,106.494,106.459,106.476,676.61
04.04.2018 03:00:00.000,106.478,106.523,106.477,106.503,1151.6299999999999
04.04.2018 03:15:00.000,106.502,106.560,106.497,106.541,1166.75
04.04.2018 03:30:00.000,106.541,106.542,106.464,106.496,1548.3899999999996
04.04.2018 03:45:00.000,106.497,106.516,106.472,106.506,1213.89
04.04.2018 04:00:00.000,106.507,106.515,106.485,106.509,1090.68
04.04.2018 04:15:00.000,106.508,106.515,106.487,106.492,739.73
04.04.2018 04:30:00.000,106.490,106.536,106.489,106.533,891.8100000000001
04.04.2018 04:45:00.000,106.533,106.557,106.508,106.557,1415.22
04.04.2018 05:00:00.000,106.556,106.564,106.514,106.559,1304.63
04.04.2018 05:15:00.000,106.561,106.590,106.549,106.584,1228.05
04.04.2018 05:30:00.000,106.583,106.591,106.538,106.550,1595.1399999999999
04.04.2018 05:45:00.000,106.549,106.561,106.496,106.540,1539.2199999999998
04.04.2018 06:00:00.000,106.540,106.579,106.529,106.570,2041.6100000000001
04.04.2018 06:15:00.000,106.570,106.621,106.559,106.588,1599.19
04.04.2018 06:30:00.000,106.586,106.636,106.557,106.635,1351.4800000000002
04.04.2018 06:45:00.000,106.635,106.687,106.611,106.653,1340.2499999999998
04.04.2018 07:00:00.000,106.650,106.650,106.515,106.522,2773.94
04.04.2018 07:15:00.000,106.523,106.567,106.499,106.515,2225.46
04.04.2018 07:30:00.000,106.515,106.516,106.335,106.381,2341.04
04.04.2018 07:45:00.000,106.381,106.381,106.193,106.204,4700.16
04.04.2018 08:00:00.000,106.205,106.213,105.990,106.049,4829.219999999999
04.04.2018 08:15:00.000,106.049,106.119,106.036,106.087,3268.85
04.04.2018 08:30:00.000,106.090,106.181,106.059,106.169,3365.1800000000003
04.04.2018 08:45:00.000,106.169,106.221,106.115,106.197,2730.57
04.04.2018 09:00:00.000,106.199,106.210,106.152,106.167,2504.1399999999994
04.04.2018 09:15:00.000,106.169,106.174,106.106,106.149,2352.51
04.04.2018 09:30:00.000,106.149,106.155,106.119,106.147,1786.4600000000005
04.04.2018 09:45:00.000,106.147,106.173,106.124,106.169,1473.21
04.04.2018 10:00:00.000,106.170,106.176,106.082,106.104,6831.5399
04.04.2018 10:15:00.000,106.105,106.122,105.992,106.041,3215.6000000000004
04.04.2018 10:30:00.000,106.042,106.144,106.033,106.134,2328.7200000000003
04.04.2018 10:45:00.000,106.133,106.173,106.123,106.135,2202.5899999999997
04.04.2018 11:00:00.000,106.136,106.181,106.124,106.136,2042.24
04.04.2018 11:15:00.000,106.136,106.236,106.129,106.224,2718.7999999999997
04.04.2018 11:30:00.000,106.223,106.247,106.197,106.207,2144.36
04.04.2018 11:45:00.000,106.207,106.240,106.162,106.174,2108.91
04.04.2018 12:00:00.000,106.174,106.242,106.169,106.212,2467.870000000001
04.04.2018 12:15:00.000,106.211,106.278,106.121,106.173,3716.54
04.04.2018 12:30:00.000,106.172,106.232,106.128,106.218,2842.94
04.04.2018 12:45:00.000,106.218,106.277,106.198,106.248,2648.68
04.04.2018 13:00:00.000,106.248,106.268,106.206,106.252,2108.1899999999996
04.04.2018 13:15:00.000,106.250,106.267,106.188,106.246,2307.71
04.04.2018 13:30:00.000,106.244,106.356,106.215,106.325,4413.63
04.04.2018 13:45:00.000,106.319,106.347,106.262,106.324,3580.33
04.04.2018 14:00:00.000,106.335,106.350,106.262,106.309,3529.21
04.04.2018 14:15:00.000,106.310,106.339,106.271,106.277,3035.54
04.04.2018 14:30:00.000,106.278,106.308,106.238,106.302,2862.42
04.04.2018 14:45:00.000,106.302,106.566,106.299,106.551,3474.27
04.04.2018 15:00:00.000,106.551,106.563,106.472,106.484,2852.37
04.04.2018 15:15:00.000,106.484,106.593,106.481,106.579,2968.840000000001
04.04.2018 15:30:00.000,106.578,106.628,106.541,106.550,2676.92
04.04.2018 15:45:00.000,106.550,106.590,106.517,106.559,2425.7400000000002
04.04.2018 16:00:00.000,106.558,106.650,106.535,106.622,2207.21
04.04.2018 16:15:00.000,106.621,106.648,106.589,106.633,1994.8199999999997
04.04.2018 16:30:00.000,106.633,106.647,106.610,106.634,1889.51
04.04.2018 16:45:00.000,106.634,106.644,106.578,106.612,1840.1699999999998
04.04.2018 17:00:00.000,106.614,106.623,106.537,106.551,1992.8600000000004
04.04.2018 17:15:00.000,106.551,106.578,106.509,106.554,2150.37
04.04.2018 17:30:00.000,106.554,106.589,106.527,106.561,1662.57
04.04.2018 17:45:00.000,106.561,106.573,106.510,106.573,1854.65
04.04.2018 18:00:00.000,106.576,106.649,106.576,106.649,2033.62
